request_id,arrival_time,first_token_time,finish_time,output_tokens,ttft,tpot,e2e_latency
23,6.490272040054321,7.4765610240881655,7.797516174878501,59,0.9862889840338447,0.005533709496385094,1.3072441348241801
21,6.453353949031802,7.4765610240881655,7.73111166092188,47,1.023207075056363,0.005533709496385103,1.2777577118900778
22,6.469916191306303,7.4765610240881655,7.996729716748365,95,1.0066448327818627,0.0055337094963851,1.526813525442062
24,6.717205055014379,7.4765610240881655,8.085269068690527,111,0.7593559690737868,0.005533709496385108,1.3680640136761486
26,8.214330709914012,8.295655709914014,8.432155709914014,22,0.08132500000000142,0.006499999999999993,0.21782500000000127
27,8.684022123912147,8.755457123912148,8.976457123912148,35,0.07143500000000103,0.006500000000000002,0.2924350000000011
28,8.76565365245667,9.05273365245667,9.41673365245667,57,0.28707999999999956,0.006500000000000014,0.6510800000000003
29,8.795476019125067,9.53292865245667,9.92292865245667,61,0.7374526333316034,0.006500000000000009,1.127452633331604
30,9.306301309355186,9.929428652456672,10.124428652456672,31,0.6231273431014852,0.006500000000000009,0.8181273431014855
31,9.88328070402288,10.130928652456673,10.507928652456673,59,0.24764794843379256,0.006500000000000012,0.6246479484337932
32,10.63133512014505,11.027635120145051,11.268135120145052,38,0.3963000000000019,0.006500000000000022,0.6368000000000027
34,10.789184708868012,11.27776773426705,11.57676773426705,47,0.48858302539903775,0.006499999999999989,0.7875830253990372
33,10.633374292321308,11.582426312928474,11.803110880724041,40,0.9490520206071658,0.005658578661424803,1.169736588402733
35,10.968129790446353,11.582426312928474,11.831403774031166,45,0.6142965224821211,0.005658578661424819,0.8632739835848131
36,11.157062942567286,11.582426312928474,11.831403774031166,45,0.4253633703611879,0.005658578661424819,0.6743408314638799
37,11.408848858241083,11.582426312928474,11.831403774031166,45,0.1735774546873916,0.005658578661424819,0.42255491579008364
38,11.71587995707789,12.55916495707789,13.10516495707789,85,0.8432849999999998,0.006499999999999993,1.3892849999999992
39,11.857477704976734,13.111229671522878,13.33562410598748,38,1.2537519665461438,0.006064714444989227,1.4781464010107452
40,12.009886129586329,13.111229671522878,13.693442258241847,97,1.101343541936549,0.006064714444989257,1.6835561286555176
41,13.150409897730723,14.004874897730724,14.310374897730725,48,0.8544650000000011,0.006500000000000007,1.1599650000000015
42,13.274205356055932,14.4190717483189,14.5945717483189,28,1.1448663922629692,0.006499999999999983,1.3203663922629687
44,13.633413565795259,14.600395478307865,14.815873487899568,38,0.9669819125126065,0.005823729988964935,1.182459922104309
