arrival_rate,batch_size,count,design,elapsed_s,goodput,mean_e2e,mean_tpot,mean_ttft,num_requests,p50_ttft,p95_e2e,p95_tpot,p95_ttft,p99_e2e,p99_ttft,prompt_tokens_max,prompt_tokens_mean,prompt_tokens_min,throughput_req_s,throughput_tok_s
4.0,4,32,colocated,9.934388399124146,0.40625,2.874286775903591,0.024403136208208706,2.121705168613687,32,2.207619951820109,4.8364458999859945,0.025037027207051036,3.581161857074659,4.965990615032336,4.109861420517872,512,138.8125,7,2.533111083987754,80.82207552348427
4.0,8,32,colocated,7.668648719787598,0.5625,2.481069690494212,0.025239709806005543,1.7010849996780855,32,1.822576071503237,3.920213267000322,0.025714579770169416,2.7020920933674653,4.068808554391478,2.8554936518633545,512,138.8125,7,3.087901316220375,98.52335137065633
0.0,4,32,disaggregated,10.261632204055786,0.375,3.8242408803071157,0.018679366270744274,3.255892798952118,32,3.3845124062208924,6.749394270571065,0.01908842656831328,6.056223202554975,6.963434720141231,6.056223202554975,512,138.8125,7,4.556991741184346,143.5452398473069
0.0,8,32,disaggregated,8.01406717300415,0.5,2.921616527812148,0.01914031428038969,2.3368972396856407,32,2.389018402900547,4.764831547826179,0.01951275419742645,3.8224445669329725,4.810242033137475,3.8224445669329725,512,138.8125,7,6.644121000845609,209.28981152663667
0.5,4,32,disaggregated,11.458857774734497,0.625,3.0887514281895627,0.018674239531321458,2.5119188146492433,32,1.4593447642425073,9.150281448135377,0.019098054495690693,8.547874998158534,10.715243136631285,10.075253240350245,512,138.8125,7,0.48372518869939957,15.433856801940218
0.5,8,32,disaggregated,8.449270725250244,0.28125,8.433677885758948,0.019164804919325495,7.8406700586158635,32,8.387072889385559,15.436963330999086,0.019547240128841313,14.84495874741727,17.67539012617822,16.954569082290227,512,138.8125,7,0.4806705370704981,15.336394323405582
1.0,4,32,disaggregated,11.408395290374756,0.75,2.0420083403151468,0.018668088248573196,1.4653328606801328,32,0.9950342339519525,5.172756403741306,0.019090040195747834,4.570603401503405,5.956608029081524,5.3168503455971745,512,138.8125,7,0.9432571015885329,30.09579689755913
1.0,8,32,disaggregated,8.498120546340942,0.34375,5.005256231837518,0.01918401263971356,4.4117165452022515,32,4.650201148450049,8.685924863964296,0.019604363012208616,7.977841905498796,9.703988962057544,8.983408149217635,512,138.8125,7,0.9317591160716426,29.728939297160846
2.0,4,32,disaggregated,11.413575410842896,0.875,1.5221268537880293,0.01867168631289942,0.9453406529101246,32,0.7026860411300874,3.0851605675076295,0.0191005639246809,2.5841974112779695,3.695525790616638,2.9702273039218463,512,138.8125,7,1.7919656159673691,57.17490293445887
2.0,8,32,disaggregated,8.540367364883423,0.375,3.297899146512299,0.019153947665959323,2.705450085980209,32,2.8043098425014876,5.289943209431204,0.01951207534968288,4.565136752795736,5.836271183696273,4.994927972294056,512,138.8125,7,1.7552672407861027,56.003995401331586
3.0,4,32,disaggregated,11.513610601425171,0.9375,1.3982589105452676,0.01867619767175459,0.8213311520866442,32,0.6730120664776917,2.3547969432602507,0.01910720504206565,1.923810410173103,2.930613859433681,2.1461757132142214,512,138.8125,7,2.5723138471041143,82.07288868416563
3.0,8,32,disaggregated,8.482565641403198,0.4375,2.7106249008004055,0.01915290831858599,2.1182607616203435,32,2.2024405482673246,4.23056074403985,0.019509132467053304,3.392882616284431,4.549436697124266,3.6476114242601256,512,138.8125,7,2.4884255994697253,79.39632928308093
4.0,4,32,disaggregated,11.458752632141113,1.0,1.4331286711138647,0.018675735538441443,0.8562108283593814,32,0.7327848765862259,2.182343910764242,0.019097373038771966,1.591044882672925,2.5674218258660995,1.7799653651889042,512,138.8125,7,3.265597036169094,104.19295543527016
4.0,8,32,disaggregated,8.446851968765259,0.5,2.4144766582443564,0.019148716480899476,1.822122255055919,32,1.9063430351279333,3.701254840436901,0.01952076331029351,2.797575217194427,3.8936186977217093,2.98324906083884,512,138.8125,7,3.145107820305549,100.34859639162393
